date,nav
2025-01-02,
2025-01-03,250000.0
2025-01-06,250000.0
2025-01-07,250000.0
2025-01-08,250000.0
2025-01-10,250000.0
2025-01-13,250000.0
2025-01-14,250000.0
2025-01-15,250000.0
2025-01-16,250000.0
2025-01-17,250000.0
2025-01-21,250000.0
2025-01-22,250000.0
2025-01-23,250000.0
2025-01-24,250000.0
2025-01-27,250000.0
2025-01-28,250000.0
2025-01-29,250000.0
2025-01-30,250000.0
2025-01-31,250000.0
2025-02-03,250000.0
2025-02-04,250000.0
2025-02-05,250000.0
2025-02-06,250000.0
2025-02-07,250000.0
2025-02-10,250000.0
2025-02-11,250000.0
2025-02-12,250000.0
2025-02-13,250000.0
2025-02-14,250000.0
2025-02-18,250000.0
2025-02-19,250000.0
2025-02-20,250000.0
2025-02-21,250000.0
2025-02-24,250000.0
2025-02-25,250000.0
2025-02-26,250000.0
2025-02-27,250643.29136452824
2025-02-28,250643.29136452824
2025-03-03,253756.12488566036
2025-03-04,253756.12488566036
2025-03-05,253756.12488566036
2025-03-06,256849.58751495308
2025-03-07,256849.58751495308
2025-03-10,262509.8920176729
2025-03-11,262509.8920176729
2025-03-12,262509.8920176729
2025-03-13,262509.8920176729
2025-03-14,262509.8920176729
2025-03-17,262509.8920176729
2025-03-18,262509.8920176729
2025-03-19,262509.8920176729
2025-03-20,262509.8920176729
2025-03-21,262509.8920176729
2025-03-24,262509.8920176729
2025-03-25,262509.8920176729
2025-03-26,262509.8920176729
2025-03-27,262509.8920176729
2025-03-28,262509.8920176729
2025-03-31,262509.8920176729
2025-04-01,262509.8920176729
2025-04-02,262509.8920176729
2025-04-03,262509.8920176729
2025-04-04,265269.0824347545
2025-04-07,265269.0824347545
2025-04-08,267506.42345636373
2025-04-09,273145.3089816658
2025-04-10,273145.3089816658
2025-04-11,273145.3089816658
2025-04-14,273145.3089816658
2025-04-15,273145.3089816658
2025-04-16,273145.3089816658
2025-04-17,273145.3089816658
2025-04-21,273145.3089816658
2025-04-22,273145.3089816658
2025-04-23,273145.3089816658
2025-04-24,273145.3089816658
2025-04-25,273145.3089816658
2025-04-28,273145.3089816658
2025-04-29,273145.3089816658
2025-04-30,273145.3089816658
2025-05-01,273145.3089816658
2025-05-02,273145.3089816658
2025-05-05,273145.3089816658
2025-05-06,273145.3089816658
2025-05-07,273145.3089816658
2025-05-08,273145.3089816658
2025-05-09,273145.3089816658
2025-05-12,273145.3089816658
2025-05-13,273145.3089816658
2025-05-14,273145.3089816658
2025-05-15,273145.3089816658
2025-05-16,273145.3089816658
2025-05-19,273145.3089816658
2025-05-20,273145.3089816658
2025-05-21,273145.3089816658
2025-05-22,273145.3089816658
2025-05-23,273145.3089816658
2025-05-27,273145.3089816658
2025-05-28,273145.3089816658
2025-05-29,273145.3089816658
2025-05-30,273145.3089816658
2025-06-02,273145.3089816658
2025-06-03,273145.3089816658
2025-06-04,273145.3089816658
2025-06-05,273145.3089816658
2025-06-06,273145.3089816658
2025-06-09,273145.3089816658
2025-06-10,273145.3089816658
2025-06-11,273145.3089816658
2025-06-12,273145.3089816658
2025-06-13,273145.3089816658
2025-06-16,273145.3089816658
2025-06-17,273145.3089816658
